CNPJ_FUNDO,DT_COMPTC,VL_PATRIM_LIQ
08.971.898/0001-57,2011-12-13,625443026.74
08.971.898/0001-57,2011-12-14,624246595.28
08.971.898/0001-57,2011-12-15,623079821.46
08.971.898/0001-57,2011-12-16,622819072.98
08.971.898/0001-57,2011-12-19,620700415.65
08.971.898/0001-57,2011-12-20,619639367.63
08.971.898/0001-57,2011-12-21,620261470.43
08.971.898/0001-57,2011-12-22,622640386.24
08.971.898/0001-57,2011-12-23,625465729.81
08.971.898/0001-57,2011-12-26,625317255.39
08.971.898/0001-57,2011-12-27,627803258.18
08.971.898/0001-57,2011-12-28,627625248.99
08.971.898/0001-57,2011-12-29,627754509.63
08.971.898/0001-57,2011-12-30,628003303.81
08.971.898/0001-57,2012-01-02,629533994.64
08.971.898/0001-57,2012-01-03,633292697.6
08.971.898/0001-57,2012-01-04,635710772.07
08.971.898/0001-57,2012-01-05,638403902.39
08.971.898/0001-57,2012-01-06,642389347.21
08.971.898/0001-57,2012-01-09,642251154.48
08.971.898/0001-57,2012-01-10,643763982.68
08.971.898/0001-57,2012-01-11,642551887.04
08.971.898/0001-57,2012-01-12,643011715.64
08.971.898/0001-57,2012-01-13,643672180.82
08.971.898/0001-57,2012-01-16,644677552.55
08.971.898/0001-57,2012-01-17,644355344.5
08.971.898/0001-57,2012-01-18,644721911.04
08.971.898/0001-57,2012-01-19,645405874.99
08.971.898/0001-57,2012-01-20,646234643.03
08.971.898/0001-57,2012-01-23,646736124.46
08.971.898/0001-57,2012-01-24,646674266.32
08.971.898/0001-57,2012-01-25,646911003.54
08.971.898/0001-57,2012-01-26,648702163.44
08.971.898/0001-57,2012-01-27,650420217.05
08.971.898/0001-57,2012-01-30,651428479.73
08.971.898/0001-57,2012-01-31,651686070.29
08.971.898/0001-57,2012-02-01,652529409.11
08.971.898/0001-57,2012-02-02,653497012.28
08.971.898/0001-57,2012-02-03,653627845.2
08.971.898/0001-57,2012-02-06,652413034.2
08.971.898/0001-57,2012-02-07,652919538.96
08.971.898/0001-57,2012-02-08,653457392.74
08.971.898/0001-57,2012-02-09,654076630.7
08.971.898/0001-57,2012-02-10,653484574.59
08.971.898/0001-57,2012-02-13,653413887.28
08.971.898/0001-57,2012-02-14,653399310.42
08.971.898/0001-57,2012-02-15,653413637.23
08.971.898/0001-57,2012-02-16,653210909.55
08.971.898/0001-57,2012-02-17,654290985.73
08.971.898/0001-57,2012-02-22,654599285.07
08.971.898/0001-57,2012-02-23,654323889.22
08.971.898/0001-57,2012-02-24,653822124.98
08.971.898/0001-57,2012-02-27,653033599.34
08.971.898/0001-57,2012-02-28,653489213.7
08.971.898/0001-57,2012-02-29,654606116.82
08.971.898/0001-57,2012-03-01,653872398.24
08.971.898/0001-57,2012-03-02,656014846.52
08.971.898/0001-57,2012-03-05,654759180.45
08.971.898/0001-57,2012-03-06,654125040.71
08.971.898/0001-57,2012-03-07,654264220.07
08.971.898/0001-57,2012-03-08,656094213.76
08.971.898/0001-57,2012-03-09,657545104.34
08.971.898/0001-57,2012-03-12,654809714.38
08.971.898/0001-57,2012-03-13,654980607.75
08.971.898/0001-57,2012-03-14,654425259.31
08.971.898/0001-57,2012-03-15,654555353.59
08.971.898/0001-57,2012-03-16,654809816.68
08.971.898/0001-57,2012-03-19,659565232.88
08.971.898/0001-57,2012-03-20,658267742.5
08.971.898/0001-57,2012-03-21,667707741.52
08.971.898/0001-57,2012-03-22,668021140.87
08.971.898/0001-57,2012-03-23,668729856.03
08.971.898/0001-57,2012-03-26,667166117.86
08.971.898/0001-57,2012-03-27,664265758.44
08.971.898/0001-57,2012-03-28,663470783.12
08.971.898/0001-57,2012-03-29,663321216.06
08.971.898/0001-57,2012-03-30,663470439.66
08.971.898/0001-57,2012-04-02,663320130.62
08.971.898/0001-57,2012-04-03,661185138.26
08.971.898/0001-57,2012-04-04,660179024.07
08.971.898/0001-57,2012-04-05,659944730.34
08.971.898/0001-57,2012-04-09,659470745.5
08.971.898/0001-57,2012-04-10,658516306.56
08.971.898/0001-57,2012-04-11,658789254.55
08.971.898/0001-57,2012-04-12,658671107.76
08.971.898/0001-57,2012-04-13,657872087.84
